,Author,Title,label
51,,"Catalyzing Personal and Social Change Around Gender , Sexuality , and HIV: Impact Evaluation of Puntos de Encuentro _ s Communication Strategy in Nicaragua",0
52,,"Causes, Trends, and Policy of Population Migration and The Floating Population",0
53,,Changes In Health-Related attitude and Self-Reported Behaviour of Undergraduate Students at The American University of Beirut Following A Health Awareness Course,0
54,,Changing Places: Migration_s Social and Environmental Consequences,0
55,,"Characterization of Hydrological and Hydrochemical Cycles As A Tool for Evaluation of Environmental Impact of Mining In Serra Dos Carajas, Amazonia, Brazil",0
56,,"Child Abuse In Cameroon: Evaluation of A Training Course on Awareness, Detection, and Reporting of Child Abuse",0
57,,Childhood Blindness In India - Regional Variations,0
58,,Childhood Survival In Haiti: Protective Effect of Measles Vaccination,0
59,,Children_s Well-Being After The War In Kosovo: Survey In 2000,0
60,,Chinese Payers_ View of Pharmaceutical Value attributes: Which Evidence Drives Access? Value In Health,0
61,,Civil Wars beyond their Borders: The Human Capital and Health Consequences of Hosting Refugees,0
62,,Cleaner Production In The Chemical Industry,0
63,,Climate Change In Asia: A Review of The Vulnerability and Adaptation of Crop Production,0
64,,Climate Change Risks for African Agriculture,0
65,,Clinical Impact and Cost-Effectiveness of Antiretroviral Therapy In India: Starting Criteria and Second-Line Therapy,0
66,,Coffee production effects on child labor and schooling in rural Brazil,0
67,,Computer Skills Development By Children Using 'Hole In The Wall' Facilities In Rural India,0
68,,Conflict displacement and labor market outcomes in post-war Bosnia and Herzegovina,0
69,,Conscription and Crime: Evidence from The Argentine Draft Lotery,0
70,,Contingent Loan Repayment in the Philippines,0
71,,"Crime, Isolation, and Law Enforcement",0
72,,Delivering Assistance to Conflict Affected Communities,0
73,,Delivering Assistance To Conflict Affected Communities- The BRA KDP Program In Aceh,0
74,,Design evaluation and sustainability of private schools for the poor: the Pakistan urban and rural fellowship experiments,0
75,,"Design, evaluation, and sustainability of private schools for the poor: the Pakistan urban and rural fellowship school experiments",0
76,,Direct and Indirect Effects of Voluntary Certification,0
77,,Direct and Indirect Effects of Voluntary Certification: Evidence from the Mexican Clean Industry Program,0
78,,Disentangling Treatment Effects of Polish Active Labor Market Policies: Evidence from Matched Samples,0
79,,Disentangling Treatment Effects of Polish Active Labour Market Policies: Evidence from Matched Samples,0
80,,Do Business Investment Incentives Promote Employment in Declining Areas? Evidence from EU Objective-2 Regions,0
81,,Do Criminal Politicians Reduce Corruption? Evidence from India,0
82,,Do Crowded Classrooms Crowd Out Learning?? Evidence from The Food for Education Program In Bangladesh,0
83,,Do Delivery Systems Improve Extension Access? Evidence from Rural Uganda.,0
84,,Do leaders matter? National leadership and growth since world war,0
85,,Do leaders matter? national leadership and growth since world war II,0
86,,Do Migrants Improve Governance at Home?? Evidence from a Voting Experiment,0
87,,Do new delivery systems improve extension access? Evidence from rural Uganda,0
88,,Do Poor Students Benefit from China_s Merger Program? Transfer Path and Educational Performance,0
89,,Does Conflict Affect Preferences? Results from Field Experiments In Burundi,0
90,,Does Contingent Repayment In Microfinance Help The Poor During Natural Disasters?,0
91,,Does India_s Employment Guarantee Scheme Guarantee Employment?,0
92,,Does oil corrupt? Evidence from a natural experiment in West Africa,0
93,,Does Self Help Group Participation Lead to Asset Creation?,0
94,,"Early Marriage , Age of Menarche , and Female Schooling Attainment in Bangladesh Erica Field and Attila Ambrus, (",0
95,,"Early Marriage, Age of Menarche and Female Schooling Attainment in Bangladesh",0
96,,Economic and Social Impact Evaluation Study of the Rural Electrification Program in Bangladesh,0
97,,Economic Evaluation of the Impact of the Mexico City_s Non-Smokers Health Protection Act,0
98,,Economic Performance and Political Outcomes?: An Analysis of the 1995 Turkish Parliamentary Election Results,0
99,,Effects Of Active Labor Market Programs On The Transition Rate,0
100,,Effects of Active Labor Market Programs on The Transition Rate from Unemployment Into Regular Jobs In The Slovak Republic,0
101,,Effects of Early Childhood Psychosocial Stimulation and Nutritional Supplementation on Cognition and Education In Growth Stunted Jamaican Children: Prospective Cohort Study,0
102,,Effects of early childhood psychosocial stimulation and nutritional supplementation on cognition and education in growth-stunted Jamaican children: prospective cohort study,0
103,,Effects of Economic Shocks on Children_s Employment and Schooling in Brazil,0
104,,Effects of Technological Change in Agriculture,0
105,,Effects of Technological Change In Agriculture on Food Consumption and Nutrition: Rice In A West African Society,0
106,,Enrollment and Delayed Enrollment of Secondary School Age Children In Indonesia,0
107,,ENROLMENT AND DELAYED ENROLMENT OF SECONDARY SCHOOL AGE CHILDREN IN,0
108,,Enrolment And Delayed Enrolment Of Secondary School Age Children In Indonesia,0
109,,Evaluating the impact of an urban comprehensive school reform: An illustration of the need for mixed methods,0
110,,"Evaluating the Impact of Conditional Cash Transfer Programs, (August",0
111,,Evaluating the impact of European Union Cohesion policy in less-developed countries and regions,0
112,,Evaluating The Impact of Technology Development Funds In Emerging Economies- Evidence from Latin America,0
113,,Evaluating the Impact of Training for a National Microfinance Program: The Case of Indian Self Help Groups The Impact of Training by Indian Self Help Groups on Income and Assets,0
114,,Evaluating the Local Socio-economic Impacts of Protected Areas,0
115,,Evaluating the Long-term Impact of Antipoverty Interventions in Bangladesh- An Overview,0
116,,"Evaluation of Impact of Adult Male Circumcision Programs on Hiv Incidence and Prevalence: Current Research , Gaps In Knowledge and Recommendations for Additional Research",0
117,,Evaluation of the agricultural vocational training programmes conducted by the Krishi Vigyan Kendras (Farm Science Centres) in Indian Punjab,0
118,,Evaluation of The AIN-C Program In Honduras,0
119,,Evaluation of the on-site impact of water harvesting in southern Tunisia,0
120,,Ex-ante Impact Evaluation of Conditional Cash Transfer Program on School attendance and Poverty: The Case of the Philippines,0
121,,Explaining the impact of a women_s group led community mobilisation intervention on maternal and newborn health outcomes: the Ekjut trial process evaluation,0
122,,"Farmers_ Health Status , Agricultural Efficiency , and Poverty in Rural Ethiopia A Stochastic Production Frontier Approach",0
123,,"Field versus Farm in Warangal: Bt Cotton, Higher Yields, and Larger Questions",0
124,,Final,0
125,,Final Report on A Proposed Approach To GEF Impact Evaluation,0
126,,Final Report on Proposed Approach To GEF Impact Evaluation,0
127,,Fixing Market Failures of Fixing Elections? Agricultural Credit in India,0
128,,Fixing Market Failures Or Fixing Elections? Agricultural Credit In India,0
129,,FOREST INCOMES AFTER UGANDA _ S FOREST SECTOR REFORM Are the Rural Poor Gaining?,0
130,,Free Primary Education in Kenya: An Impact Evaluation Using Propensity Score Matching,0
131,,Fungibility and the impact of development assistance: Evidence from Vietnam_s health sector,0
132,,Gansu Survey of Children and Families Papers What determines basic school attainment in developing countries? Evidence from rural China,0
133,,Gef Biodiversity Policy Review,0
134,,GEF Biodiversity Policy Revw,0
135,,GEF Evaluation Office Approach Paper,0
136,,"GEF Evaluation Office GEF IMPACT EVALUATION Case Study: Impacts of Creation and Implementation of National Parks and of Support to Batwa on their Livelihoods , Well-Being and Use of Forest Products",0
137,,GEF Evaluation Office GEF IMPACT EVALUATION Priorities and indicators for Global Environment Benefits from Biodiversity: The current international architecture,0
138,,GEF Impact Evaluation,0
139,,GEF IMPACT EVALUATION Case Study Methodology,0
140,,GEF Impact Evaluation Case Study Methodology Evaluation,0
141,,GEF Impact Evaluation Case Study: Bwindi Impenetrable National Park and Mgahinga Gorilla National Park Conservation Project,0
142,,"GEF Impact Evaluation Case Study: Impacts of Creation and Implementation of National Parks and of Support To Batwa on Their Livelihoods , Well-Being and Use of forest Products",0
143,,GEF IMPACT EVALUATION Case Study: Lewa Wildlife Conservancy Project,0
144,,GEF IMPACT EVALUATION Case Study: Reducing Biodiversity Loss at Cross- Border Sites in East Africa Project,0
145,,GEF IMPACT EVALUATION Final Report on a Proposed Approach to GEF Impact Evaluation,0
146,,GEF IMPACT EVALUATION GEF Biodiversity Policy Review,0
147,,GEF Impact Evaluation: - Bwindi Impenetrable National Park,0
148,,GEF Impact Evaluation: - Impacts of Creation and Implementations of National Parks,0
149,,GEF Impact Evaluation: - Lewa Wildlife Conservancy Project,0
150,,GEF Impact Evaluation: - Methodology,0
151,,GEF Impact Evaluation: - Reducing Biodiversity Loss,0
152,,GEF Impact Evaluation: Priorities and indicators for Global Environment Benefits from Biodiversity: The current international architecture,0
153,,Gender and Well-being in the Dominican Republic: The Impact of Free Trade Zone Employment and Female Headship,0
154,,Gender-targeted Conditional Cash Transfers,0
155,,"Genetically Modified Rice, Yields and Pesticides: Assessing Farm-level Productivity and Health Effects in China",0
156,,Going digital,0
157,,Going Digital Credit Effects of Land Registry Computerization in India,0
158,,Has the DOTS Strategy Improved Case Finding,0
159,,Has the DOTS strategy improved case finding or treatment success? An empirical assessment,0
160,,Heterogeneity in returns to schooling: Econometric evidence from Ethiopia,0
161,,HIV / AIDS Knowledge and Behaviour: Have Information Campaigns Reduced HIV Infection? The Case of Kenya,0
162,,HIVAIDS Knowledge and Behaviour,0
163,,Household Consumption and Natural Resource Management,0
164,,Household Consumption and Natural Resource Management around National Parks in Zambia,0
165,,Households in Conflict Network,0
166,,How Fair is Work Fare,0
167,,Impact Assessment of BT Corn Adoption in the Philippines,0
168,,"Impact Assessment of Farmer Field Schools in Cajamarca , Peru: An Economic Evaluation",0
169,,Impact Evaluation for Slum Upgrading Interventions,0
170,,Impact Evaluation of a Labor Training Program in Panama,0
171,,Impact evaluation of efforts to eliminate iodine deficiency disorders in Nigeria,0
172,,Impact Evaluation of Food Safety Self-Study Extension Programs?: Do Changes in Knowledge Relate to Changes in Behavior of Program Participants?? Knowledge Creation Diffusion Utilization,0
173,,Impact Evaluation of Nutrition Education Intervention for An Elementary School In Riyadh City,0
174,,Impact Evaluation of Road Projects in West Bengal,0
175,,Impact Evaluation of the Central Visayas Regional Project,0
176,,Impact Evaluation of the Environmental User Fee System: A Stakeholder Perspective,0
177,,Impact Evaluation of Water Resources Development In The Command Areas of Small Dams,0
178,,Impact Evaluation Report External Evaluation of the Mchinji Social Cash Transfer Pilot,0
179,,"Impact of a community-based intervention on serving and intake of vegetables among low-income, rural Appalachian families",0
180,,"Impact of an Integrated Nutrition Intervention on Nutrient Intakes, Morbidity and Growth of Rural Burkinabe Preschool Children",0
181,,Impact of BT cotton on pesticide poisoning in smallholder agriculture: A panel data analysis,0
182,,Impact of curriculum reform: Evidence of change in classroom practice in mainland China,0
183,,Impact of improvement of water supply,0
184,,Impact of improvement of water supply on household economy in a squatter area of Manila,0
185,,Impact of Irrigation Infrastructure Development,0
186,,Impact of Irrigation Infrastructure Development on Dynamics of Incomes and Poverty: Econometric Evidence Using Panel Data from Pakistan,0
187,,"Impact of Irrigation Infrastructure Development on Dynamics of Incomes and Poverty: Econometric Evidence Using Panel Data from Pakistan on Dynamics of Incomes and Poverty: Econometric Evidence Using Panel Data from Pakistan, (",0
188,,Impact of Microfinance on Schooling: Evidence from Poor Rural Households in Bolivia,0
189,,Impact of Participatory Natural Resource Management Research in Cassava-Based Cropping Systems in Vietnam and Thailand,0
190,,"Impact Sector Evaluation Wide of the Approach ( SWAP), Malawi",0
191,,Impact Study Of The Programa De Alivio De Pobreza,0
192,,Impact Study of The Programa De Alivio De Pobreza - PAP,0
193,,Impacts of Bolsa Familia CCT Program on Labor,0
194,,Impacts of Bolsa Familia CCT Program on Labor Supply,0
195,,Impacts of Bolsa Familia CCT Program on Labor Supply: The Bolsa Familia Program Data,0
196,,Impacts of mobile phone coverage expansion on market participation?: panel data evidence from Uganda,0
197,,Improving girls education in Guatemala,0
198,,Improving Health Care Delivery In India,0
199,,Improving productivity through group lending: Report on the Impact Evaluation of the Cocoa Abrabopa Initiative,0
200,,Incentive Compatibility in the Wild: Field Implementation of the Becker- DeGroot-Marschak Mechanism,0
201,,INCENTIVES FOR MANAGERS,0
202,,Incentives for managers and inequality among workers: evidence from a firm-level experiment,0
203,,Incentives for managers and inequality among workers: evidence from a firm-level experiment* o,0
204,,India: National Seeds Project,0
205,,Indoor Air Pollution Associated with Household Fuel Level_No,0
206,,Indoor Air Pollution Health and Economic Well-Being: The Case of Community-Based Fisheries Management in Bangladesh,0
207,,Informal networks in policy processes,0
208,,Informal Networks In Policy Processes: The Case of Community-Based Fisheries Management In Bangladesh,0
209,,"Informal networks in policy processes: the case of community-based fisheries management in Bangladesh, (September",0
210,,Infrastructure and Growth in South Africa: Direct and Indirect Productivity Impacts of 19 Infrastructure Measures,0
211,,Institutions Politics and Contracts,0
212,,Integrated Fiscal Decentralisation Taking New Aid Modalities To The Local Level,0
213,,Integrated Fiscal Decentralisation Taking New Aid Modalits to the Local Level,0
214,,"Investments , time preferences and public transfers paid to women",0
215,,Iodine Deficncy and Schooling Attainment in Tanzania- to be sent for screening,0
216,,Is child labor harmful? The impact of working earlier in life on adult earnings,0
217,,Is Spanish-only Schooling Responsible for the Puerto Rican Language Gap??,0
218,,"Journal of Development Effectiveness Meeting the challenge of proving impact in Andhra Pradesh , India, (September",0
219,,Kashf Foundation,0
220,,Kashf Foundation Impact Assessment,0
221,,Labor market discrimination in Delhi,0
222,,Labor market discrimination in Delhi: Evidence from a field experiment,0
223,,Labor Market Returns to Education in Mozambique: Learning from a Quasi-Experiment,0
224,,Laying a Foundation for Peace? A Quantitative Impact Evaluation of the United Nations Operation in Cote d _ Ivoire,0
225,,Limited Insurance Within the Household,0
226,,Limiting Child Labor Through Behavior-Based Income Transfers,0
227,,Limiting Child Labor Through Behavior-Based Income Transfers: An Experiment Evaluation of the PETI Evaluation in Rural Brazil,0
228,,Lisa Cameron Study-- to be sent for screening,0
229,,Local Government Financing and Provision in an Institutionally Constrained Decentralized System: The Case of Agricultural Extension in Uganda,0
230,,Maids and School Teachers Low Skill Migration and High Skill,0
231,,Maids and School Teachers- Low Skill Migration and High Skill Labour Supply,0
232,,Malawi Impact Evaluation Report The World Bank and the Agricultural Sector,0
233,,Malnutrition in China_s rural boarding schools: The case of primary schools in Shaanxi Province,0
234,,Management training in Vietnam_s National Tuberculosis Program: an impact evaluation,0
235,,Measuring performance and impact of rural community-led library initiatives in Thailand,0
236,,Measuring the Impact of a School-Based Health Center on Access and Quality Using a Novel Evaluation Design,0
237,,Measuring the Poverty Reduction Potential of Land in Rural Mexico,0
238,,Measuring the Poverty Reduction Potential-to be sent for screening,0
239,,Meeting the challenge of provin,0
240,,Methodological Challenges in Impact Evaluation,0
241,,Methodological Challenges in Impact Evaluation: The Case of the Global Environment Facility ( GEF,0
242,,Methodological Challenges In Impact Evaluation: The Case of the Global Environmental Facility (GEF),0
243,,Methods for Evaluating Innovative Health Programs,0
244,,"Methods for Evaluating Innovative Health Programs: a multi-country study, (September",0
245,,Micro financing through co-operatives in Maharashtra: An impact evaluation,0
246,,Microcredit as a recovery tool?: positive effects on a sample of Sri Lankan MFI borrowers hit by the Tsunami,0
247,,Microenterprise Occupation and Poverty Reduction in Microfinance Programs: Evidence from Sri Lanka,0
248,,Microfinance and Household Poverty Reduction: New evidence from India,0
249,,Microfinance and Poverty Reduction: Evidence from a Village Study in Bangladesh,0
250,,Microfinance as a Strategy for Poverty Reduction,0
251,,Microfinance for Micro Enterprises: An Impact Evaluation of Self Help Groups,0
252,,Microfinance Impact Evaluation: Going Down Market,0
253,,Microinsurance decisions evidence from Ethiopia,0
254,,Missing in Action,0
255,,Missing in Action: Teacher and Health,0
256,,Missing in Action: Teacher and Health Worker Absence in Developing Countries,0
257,,Monitoring impacts of WASH interventions: The case of SHEWAB,0
258,,Mothers _ Work and Child Care: Findings from the Urban Slums of Guatemala City,0
259,,Motives behind Community Participation,0
260,,Motives Behind Community Participation- Evidence from Natural and Field Experiments in a Developing Country,0
261,,"Muslim family law , prenuptial agreements and the emergence of",0
262,,Muwonge__-_NAADS_Uganda__IV_estimation_Way too long,0
263,,National Impact Evaluation of the Comprehensive Child Development Program,0
264,,New Microsoft Office Excel Worksheet.xlsx,0
265,,Not Sure_Incentive Compatibility in the Wild,0
266,,Note Impact evaluation of community management of rice-fish system in Assam,0
267,,Nutritional supplementation in girls,0
268,,Nutritional Supplementation In Girls influences the growth of their children: Prospective Study in Guatemala,0
269,,Nutritional supplementation in girls influences the growth of their children: prospective study in Guatemala _,0
270,,Old-age benefits and retirement decisions of rural elderly in Brazil,0
271,,Opening Up Pandora_s Box: The Effect of Gender Targeting and Conditionality on Household Spending Behavior in Mexico_s Progresa Program,0
272,,Parental childcare and children_s educational attainment: evidence from China,0
273,,Paths to Work in Rural Places: Key Findings and Lessons from the Impact Evaluation of the Future Steps Rural Welfare-to-Work Program,0
274,,Peace and Conflict Impact Assessment (PCIA),0
275,,Poland to Rich_Disentangling Treatment Effects,0
276,,Poverty Reduction Fund Saint Lucia Impact Evaluation Survey- Final,0
277,,"PREFERENCES , AND SOCIAL NETWORKS",0
278,,Priorities and Indicators for Global Environment Benefits from Biodiversity: The Current International Structure,0
279,,Priorits and indicators for Global,0
280,,Private Migrant Schools,0
281,,PROGRESSIVE SEGMENTED HEALTH INSURANCE,0
282,,PROGRESSIVE SEGMENTED HEALTH INSURANCE: COLOMBIAN HEALTH REFORM AND ACCESS TO,0
283,,Progressive Segmented Health Insurance: Colombian Health Reform And Access To Health Services,0
284,,Promoting Primary Education for Girls in Malawi,0
285,,PS The Effects of a Fee-Waiver Program on Health Care Utilization among the Poor Evidence from Armenia,0
286,,"Publisher Routledge Informa Ltd Registered in England and Wales Registered Number: Registered office: Mortimer House , - Journal of Development Effectiveness The economics approach to evaluation of health interventions in developing countries",0
287,,Quantitative Impact Evaluation of the United Nations Mission in Liberia: Final Report,0
288,,Remittances and savings from international migration: Theory and evidence using a matched sample,0
289,,Remittances to Latin America from Migrants in the United States: Assessing the Impact of Amnesty Programs,0
290,,"Remittances, Schooling, and Child Labor in Mexico",0
291,,Reproductive health services in Malawi: An evaluation of a quality improvement intervention,0
292,,"Resource Economics , UCB Measuring the Poverty Reduction Potential of Land in Rural Mexico Measuring the Poverty Reduction Potential of Land in Rural Mexico",0
293,,Retrospective vs,0
294,,Rural Electrification and Manufacturing Firm Performance in Benin,0
295,,Rural Electrification in Rwanda _ An Impact Assessment Using Matching Techniques,0
296,,Scale-up and coverage of Avahan: a large-scale HIVprevention programme among female sex workers and men who have sex with men in four Indian states,0
297,,School Choice in Chile: Looking at the Demand Side,0
298,,School Inputs Household Substitution,0
299,,School Meals Program and Educational Outcomes in Rural Ethiopia,0
300,,Seasonal Migration and Agriculture in Vietnam Seasonal Migration and Agriculture in Vietnam,0
301,,Selling at the Farm-Gate or Travelling to Market,0
302,,"Sharing the Burden of Disease: Gender , the Household Division of Labor and the Health Effects of Indoor Air Pollution Sharing the Burden of Disease: Gender , the Household Division of Labor and the Health Effects of Indoor Air Pollution",0
303,,"Sharing the Burden of Disease: Gender, Household Division of Labour and Health Effects on Indoor Pollution",0
304,,Strengthening Indigenous and Intercultural Midwifery: Evaluation of a Collaboration between Guatemalan and Canadian Aboriginal Organizations,0
305,,"Students Today , Teachers Tomorrow? Identifying Constraints on the Provision of Education",0
306,,Stunting and Selection Effects of Famine:,0
307,,Substitution and dropout bias in social experiments: a study of an influential social experiment,0
308,,Substitution and dropout bias in social experiments: a study of an influential social experiment*,0
309,,Substitution and Dropout Bias In Social Experiments: A Study of An of Influential Social Experiment,0
310,,Surch Amidarya: Learning for Life Non-formal Basic Distance Education in Mongolia Impact Evaluation UNESCO,0
311,,Tall claims: Mortality selection and the height of children in India,0
312,,Tamil Nadu Integrated Nutrition Project,0
313,,Tapping youth as agents for change: evaluation of a peer leadership HIV/AIDS intervention,0
314,,Targeting Poverty through Community _Based Public Works Programme Experience from South Africa,0
315,,Targeting Poverty Through Community -Based Public Works Programme: Experience from South Africa,0
316,,"Technical Change, Workers_ Endowment and Returns and Investments in Firm-level Training Evidence from Thailand",0
317,,Technology Development Funds in Emerging Economies,0
318,,TECHNOLOGY DEVELOPMENT FUNDS IN EMERGING ECONOMIES: Evaluation,0
319,,The Cultural Revolution and returns to schooling in China: Estimates based on twins,0
320,,"The Digital Provide- Information (Technology), Market Performance and Welfare in the South Indian Fisheries Sector",0
321,,"The Digital Provide: Information Technology, Market Performance, And Welfare In The South Indian Fisheries Sector",0
322,,The Distributive Effects of Property Rights: How Does Land Title Affect Labor Supply?,0
323,,The Distributive Effects of Property Rights: How Does Land Title Affect Labour Supply?,0
324,,The Dynamics of Livelihood Diversification in Post- Famine Ethiopia,0
325,,"The Economic Impact of Telecommunications on Rural Livelihoods and Poverty Reduction: A study of rural communities in India ( Gujarat), Mozambique and Tanzania",0
326,,The Economic Impact of Telecommunications on Rural Livelihoods and Poverty Reduction: A study of rural communities in The Economic Impact of Telecommunications on Rural Livelihoods and Poverty Reduction: Development,0
327,,The Economics Approach to Evaluation of Health Intervention in Developing Countries through Randomized Field Trials.,0
328,,The economics approach to evaluation of health interventions,0
329,,The Economics Approach To Evaluation of Health Interventions In Developing Countries,0
330,,The economics approach to evaluation of health interventions in developing countries through randomised field trial,0
331,,The Effect of Armed Conflict on Accumulation of Schooling,0
332,,The Effect of Conditional Transfers on School Performance and Child Labor: Evidence from an Ex-Post Impact Evaluation in Costa Rica,0
333,,The Effect of Conditional Transfers on School Performance and Child Labor: Evidence from an Ex-Post Impact Evaluation in Costa Rica by,0
334,,The Effect of Conditional Transfers on School Performance and Child Labour: Evidence from An Ex-Post Impact Evaluation In Costa Rica,0
335,,The Effect of ILO Minimum Age Conventions on Child Labour and School attendance,0
336,,The Effect of Refugee Inflows on Host Communities: Evidence from Tanzania,0
337,,The Effect of Refugee Inflows on Host Community: Evidence from Tanzania,0
338,,The Effect of Remittances on Labor force Participation: An analysis based on Mexico_ s 2002 ENET,0
339,,The Effectiveness of Public Catholic and Non-Religious Private Schools In Chile's Voucher System,0
340,,The Effects of A Fee Waiver Program on Health Care Utilization Among The Poor: Evidence from Armenia,0
341,,The Effects of Apprenticeship Training Scheme on Employment Probability in Turkey,0
342,,The Effects of Apprenticeship Training Scheme on Employment Probability in Turkey *,0
343,,The Effects of Education and Family Planning Programs In Indonesia,0
344,,The Effects of Fair Trade on Affiliated Producers: An Impact Analysis on Kenyan Farmers,0
345,,The Effects of Risk on Education in Indonesia,0
346,,"The effects of Sugarcane Production on food security, health and nutrition in Kenya A longitudinal analysis",0
347,,The Effects of unemployment insurance on post-unemployment earnings,0
348,,The Experience of Clients of A Community-Based Infant Mortality Reduction Program: The National Healthy Start Program Survey of Postpartum Women,0
349,,The Gapvu Cash Transfer Program In Mozambique: An Assessment,0
350,,THE GIRLS _ STIPEND PROGRAM IN BANGLADESH,0
351,,The Girls Stipend Program in Bangladesh,0
352,,The Impact of a Feeder Road Project on Cash Crop Production in Zambia_ s Eastern Province between 1997 and 2002,0
353,,The Impact of adult mortality on primary school enrolment in Northwestern Tanzania,0
354,,The Impact of BT Cotton on Poor Households in Rural India,0
355,,The Impact of Climate Change on Indian Agriculture,0
356,,"The Impact of Climate Change on Indian Agriculture, (September",0
357,,The impact of conditional cash transfer programmes on child nutrition: a review of evidence using a programme theory framework,0
358,,The Impact of Economics Blogs,0
359,,The Impact of Education on the Subjective Discount Rate in Ugandan Villages,0
360,,The Impact of Family Planning Programs on Fertility Rates: A Case Study of Four Nations,0
361,,The Impact of Lending to Women on Household Vulnerability and Women_s Empowerment: Evidence from India,0
362,,The Impact of Microcredit on the Poor in Bangladesh,0
363,,The Impact of Mutual Health Insurance Scheme on Access and Quality of Health Care in Northern Ghana: The Case of Kassena-Nankana East Scheme,0
364,,The Impact of National Research Funds: An Evaluation of The Chilean FonDECYT,0
